budget,primary_genre,original_title,overview,production_company,release_date,revenue,runtime,tagline,title
2142000,Adventure,Shaft in Africa,"Detective John Shaft travels incognito to Ethiopia, then France, to bust a human trafficking ring.",Metro-Goldwyn-Mayer (MGM),26829,1458000,112,Shaft is stickin' it...all the way.,Shaft in Africa
1978000,Action,Shaft's Big Score!,John Shaft is back as the lady-loved black detective cop on the search for the murderer of a client.,Metro-Goldwyn-Mayer (MGM),26458,10000000,104,Last time he was nice. This time he's ice!,Shaft's Big Score!
6000000,Western,Duel in the Sun,"Beautiful half-breed Pearl Chavez becomes the ward of her dead father's first love and finds herself torn between her sons, one good and the other bad.",The Selznik Studio,17167,20400000,144,Emotions . . . As Violent As The Wind-Swept Prairie !,Duel in the Sun
75000000,Adventure,X-Men,"Two mutants, Rogue and Wolverine, come to a private academy for their kind whose resident superhero team, the X-Men, must oppose a terrorist organization with similar powers.",Twentieth Century Fox Film Corporation,36720,296339527,104,Evolution Begins,X-Men
15000000,Thriller,The In Crowd,"A mentally disturbed young woman takes a job at a posh country club and falls in with a clique of wealthy college kids where she's taken under the wing of the clique's twisted leader, who harbors some dark secrets too terrifying to tell.",Morgan Creek Productions,36726,5217498,105,What would you do to get in?,The In Crowd
6000000,Drama,The Crush,A precocious and obsessive teenager develops a crush on a naive writer with harrowing consequences.,Warner Bros.,34061,13609396,89,He thought it was just a crush. He was dead wrong.,The Crush
4000000,Adventure,Kelly's Heroes,A misfit group of World War II American soldiers goes AWOL to rob a bank behind German lines.,Katzka-Loeb,25741,5200000,144,They set out to rob a bank... and damn near won a war instead!,Kelly's Heroes
3000000,Action,Phantasm II,"Mike, after his release from a psychiatric hospital, teams up with his old pal Reggie to hunt down the Tall Man, who is at it again. A mysterious, beautiful girl has also become part of Mike's dreams, and they must find her before the Tall Man does.",Universal Pictures,32332,7282851,97,The ball is back!,Phantasm II
3500000,Fantasy,Pumpkinhead,A man conjures up a gigantic vengeance demon called Pumpkinhead to destroy the teenagers who accidentally killed his son.,De Laurentiis Entertainment Group (DEG),32303,4385516,86,For each of man's evils a special demon exists...,Pumpkinhead
30000000,Drama,Silent Fall,"An autistic boy witnesses his parents' double murder. Richard Dreyfuss as a controversial therapist, seeks to probe the child's mind in order to solve the case.",Warner Bros.,34635,3180674,101,A Savage Crime. A Silent Witness.,Silent Fall
33000000,Horror,The Cell,A psychotherapist journeys inside a comatose serial killer in the hopes of saving his latest victim.,New Line Cinema,36755,104155843,107,Enter The Mind Of A Killer,The Cell
1000000,Adventure,Gojira ni-sen mireniamu,Godzilla saves Tokyo from a flying saucer that transforms into the beast Orga.,Toho Film (Eiga) Co. Ltd.,36505,10037390,107,Get ready to crumble.,Godzilla 2000
12000000,Comedy,The Naked Gun: From the Files of Police Squad!,"When the incompetent Officer Frank Drebin seeks the ruthless killer of his partner, he stumbles upon an attempt to assassinate Queen Elizabeth.",Paramount Pictures,32479,78756177,85,The Villain. Even Mother Teresa wanted him dead.,The Naked Gun: From the Files of Police Squad!
3100000,Drama,Shane,"A weary gunfighter attempts to settle down with a homestead family, but a smouldering settler and rancher conflict forces him to act.",Paramount Pictures Corporation,19472,20000000,118,The Greatest Story Of The West Ever Filmed!,Shane
35000000,Adventure,Supergirl,"After losing a powerful orb, Kara, Superman's cousin, comes to Earth to retrieve it and instead finds herself up against a wicked witch",St. Michael Finance Limited,31005,14296438,124,From out of another galaxy and into your hearts comes... Supergirl,Supergirl
60000000,Drama,Almost Famous,"Almost Famous is an autobiographical inspired film about a 15-year-old who is hired by Rolling Stone magazine to follow and interview a rock band during their tour. A film about growing up, first love, disappointment, and the life of a rock star.",Columbia Pictures,36784,47383689,122,Experience it. Enjoy it. Just don't fall for it.,Almost Famous
1580000,Adventure,Voyage to the Bottom of the Sea,The crew of an atomic submarine battle to save the world from global destruction.,Twentieth Century Fox Film Corporation,22474,7000000,105,From Hundred of Miles In Outer Space to Seven Miles Beneath the Sea!,Voyage to the Bottom of the Sea
1000000,Comedy,Ghoulies,"A young man and his girlfriend move into the man's old mansion home, where he becomes possessed by a need to control ancient demons.",Empire Pictures,30994,35000000,81,They'll get you in the end.,Ghoulies
40000000,Drama,Pay It Forward,"Like some other kids, 12-year-old Trevor McKinney believed in the goodness of human nature. Like many other kids, he was determined to change the world for the better. Unlike most other kids, he succeeded.",Bel Air Entertainment,36811,55707411,122,"When someone does you a big favor, don't pay it back... Pay It Forward",Pay It Forward
80000000,Thriller,Red Planet,"Astronauts search for solutions to save a dying Earth by searching on Mars, only to have the mission go terribly awry.",Village Roadshow Pictures,36840,33463969,106,Not A Sound. Not A Warning. Not A Chance. Not Alone.,Red Planet
7200000,Adventure,Diamonds Are Forever,Diamonds are stolen only to be sold again in the international market. James Bond infiltrates a smuggling mission to find out whoâ€™s guilty. The mission takes him to Las Vegas where Bond meets his archenemy Blofeld.,United Artists,26280,116019547,120,The man who made 007 a household number,Diamonds Are Forever
82000000,Science Fiction,The 6th Day,Futuristic action about a man who meets a clone of himself and stumbles into a grand conspiracy about clones taking over the world.,Phoenix Pictures,36847,96085477,123,Are You Who You Think You Are,The 6th Day
35000000,Drama,Bounce,A man switches plane tickets with another man who dies in that plane in a crash. The man falls in love with the deceased one's wife.,Miramax Films,36845,36779296,106,Two strangers fell in love. One knew it wasn't by chance.,Bounce
40000000,Action,The Living Daylights,James Bond helps a Russian General escape into the west. He soon finds out that the KGB wants to kill him for helping the General. A little while later the General is kidnapped from the Secret Service leading 007 to be suspicious.,United Artists,31957,191185897,130,Licensed to thrill.,The Living Daylights
6000000,Animation,The Transformers: The Movie,"The Autobots must stop a colossal planet-consuming robot who goes after the Autobot Matrix of Leadership. At the same time, they must defend themselves against an all-out attack from the Decepticons.",De Laurentiis Entertainment Group (DEG),31632,5849647,84,Beyond good. Beyond evil. Beyond your wildest imagination.,The Transformers: The Movie
15000000,Crime,Wall Street,"A young and impatient stockbroker is willing to do anything to get to the top, including trading on illegal inside information taken through a ruthless and greedy corporate raider whom takes the youth under his wing.",Twentieth Century Fox Film Corporation,32121,43848069,126,Every dream has a price.,Wall Street
14000000,Drama,Born on the Fourth of July,"The biography of Ron Kovic. Paralyzed in the Vietnam war, he becomes an anti-war and pro-human rights political activist after feeling betrayed by the country he fought for.",Universal Pictures,32862,161001698,145,A story of innocence lost and courage found.,Born on the Fourth of July
4000000,Drama,Talk Radio,"A rude, contemptuous talk show host becomes overwhelmed by the hatred that surrounds his program just before it goes national.",Cineplex-Odeon Films,32498,3468572,110,The last neighborhood in America.,Talk Radio
10000000,Drama,The House of Mirth,A woman risks losing her chance of happiness with the only man she has ever loved.,Granada Film Productions,36792,5164404,140,When a woman has the beauty men admire and women envy...it is wise to tread carefully.,The House of Mirth
26000000,Action,"O Brother, Where Art Thou?","In the deep south during the 1930s, three escaped convicts search for hidden treasure while a relentless lawman pursues them. On their journey they come across many comical characters and incredible situations. Based upon Homer's 'Odyssey'.",Universal Pictures,36768,71868327,106,They have a plan...but not a clue.,"O Brother, Where Art Thou?"
8000000,Drama,Shadow of the Vampire,Director F.W. Murnau (John Malkovich) makes a Faustian pact with a vampire (Willem Dafoe) to get him to star in his 1922 film Nosferatu.,Saturn Films,36661,8279017,92,An Unspeakable Horror. A Creative Genius. Captured For Eternity.,Shadow of the Vampire
12000000,Action,The Alamo,The legendary true story of a small band of soldiers who sacrificed their lives in hopeless combat against a massive army in order to prevent a tyrant from smashing the new Republic of Texas.,United Artists,22212,7900000,167,The Mission That Became a Fortress! The Fortress That Became a Shrine!,The Alamo
30000000,Action,Antitrust,A computer programmer's dream job at a hot Portland-based firm turns nightmarish when he discovers his boss has a secret and ruthless means of dispatching anti-trust problems.,Industry Entertainment,36903,18195610,108,Truth can be dangerous...Trust can be deadly.,Antitrust
13000000,Drama,Save the Last Dance,"A white midwestern girl moves to Chicago, where her new boyfriend is a black teen from the South Side with a rough, semi-criminal past.",MTV Films,36903,91038276,112,The Only Person You Need To Be Is Yourself.,Save the Last Dance
3000000,Comedy,Barfly,"Downtrodden writer Henry and distressed goddess Wanda aren't exactly husband and wife: they're wedded to their bar stools. But they like each other's company- and Barfly captures their giddy, gin-soaked attempts to make a go of life on the skids.",Zoetrope Studios,32022,3221568,100,Some people never go crazy. What truly horrible lives they must lead.,Barfly
350000,Horror,The Evil Dead,"When a group of college students finds a mysterious book and recording in the old wilderness cabin they've rented for the weekend, they unwittingly unleash a demonic force from the surrounding forest.",Renaissance Pictures,29874,29400000,85,The Ultimate Experience In Grueling Terror,The Evil Dead
23000000,Adventure,Jaws: The Revenge,"After another deadly shark attack, Ellen Brody decides she has had enough of New England's Amity Island and moves to the Caribbean to join her son, Michael, and his family. But a great white shark has followed her there, hungry for more lives.",Universal Pictures,31975,51881013,89,"This time, itâ€™s personal.",Jaws: The Revenge
22000000,Comedy,Saving Silverman,"A pair of buddies conspire to save their best friend from marrying the wrong woman, a cold-hearted beauty who snatches him from them and breaks up their Neil Diamond cover band.",Village Roadshow Pictures,36931,19351569,90,They swore nothing would come between them. Then evil walked in the door,Saving Silverman
1900000,Comedy,"Eu, Tu, Eles","A true story that comically depicts the relationship between an ordinary woman and her three husbands, who live in the same house in a poor and arid small village of the Brazilian northeast.",Columbia Pictures Corporation,36755,2070806,104,One woman. Four sons. Three fathers. No one said love was simple.,"Me, You, Them"
3000000,Drama,Elmer Gantry,An ex-football player becomes a popular evangelist in the 1920s Midwest.,United Artists,22086,10400000,146,If there was a dollar to be made - Gantry would make it... If there was a soul to be saved - Gantry would save it...,Elmer Gantry
2000000,Science Fiction,Battle Beyond the Stars,A young farmer assembles a band of diverse mercenaries to defend his peaceful planet from an evil tyrant.,New World Pictures,29472,11000000,104,"A battle beyond time, beyond space.",Battle Beyond the Stars
7000000,Comedy,Losin' It,"Set in 1965, four Los Angeles school friends -- Woody, Dave, Spider and Wendell -- go on a series of misadventures when they head to Tijuana, Mexico, for a night of cruisin', causing trouble, and to lose their virginity.",Tijuana Productions,30414,1246141,100,The last word about the first time.,Losin' It
15000000,Crime,Manhunter,"FBI Agent Will Graham, who retired after catching Hannibal Lecktor, returns to duty to engage in a risky cat-and-mouse game with Lecktor to capture a new killer.",De Laurentiis Entertainment Group (DEG),31638,8620929,119,Enter the mind of a serial killerâ€¦ you may never come back,Manhunter
7920000,Mystery,Death on the Nile,"As Hercule Poirot enjoys a luxurious cruise down the Nile, a newlywed heiress is found murdered on board. Can Poirot identify the killer before the ship reaches the end of its journey?",EMI Films Ltd.,28769,14560084,140,A murderer strikes on board the luxury Nile steamer Karnak-and Hercule Poirot faces his most baffling case.,Death on the Nile
68000000,War,Enemy at the Gates,Enemy at the Gates is a war film from Jean-Jacques Annaud from 2001 that takes place during the battle of Stalingard in World War II between the Russians and the Germans.,Paramount Pictures,36963,96976270,131,Some Men Are Born To Be Heroes.,Enemy at the Gates
11000000,Comedy,Tomcats,"College buddies chip in and promise that the group's last unmarried man will collect a cash pot. Seven years later, the kitty is worth $500,000 -- money Michael needs to pay a gambling debt. Problem is, the only other single guy is a hopeless womanizer!",Columbia Pictures,36980,23430766,95,The Last Man Standing Gets The Kitty.,Tomcats
25000000,Comedy,Bridget Jones's Diary,"A chaotic Bridget Jones meets a snobbish lawyer, and he soon enters her world of imperfections.",Miramax Films,36994,281929795,97,Health Warning: Adopting Bridget's lifestyle could seriously damage your health.,Bridget Jones's Diary
27000000,Fantasy,Krull,A prince and a fellowship of companions set out to rescue his bride from a fortress of alien invaders who have arrived on their home planet.,Columbia Pictures Corporation,30526,16519460,117,A world light-years beyond your imagination.,Krull
53000000,Drama,Angel Eyes,"A story about a seemingly unlikely couple who cross paths under life-threatening circumstances as though they are destined not only to meet but to save each other's lives. Not once, but twice.",Epsilon Motion Pictures,37026,29700000,102,"The deeper you look, the more you will find.",Angel Eyes
60000000,Adventure,Shrek,"It ain't easy bein' green -- especially if you're a likable (albeit smelly) ogre named Shrek. On a mission to retrieve a gorgeous princess from the clutches of a fire-breathing dragon, Shrek teams up with an unlikely compatriot -- a wisecracking donkey.",DreamWorks SKG,37027,484409218,90,The greatest fairy tale never told.,Shrek
27000000,Action,City Slickers,New York meets the west in this comedy starring Billy Crystal. Three New York business men decide to take a 'Wild West' vacation that turns out to not be the relaxing vacation they had envisioned.,Columbia Pictures,33396,179033791,112,Yesterday They Were Businessmen. Today They're Cowboys. Tomorrow They'll Be Walking Funny.,City Slickers
2000000,Western,The Magnificent Seven,An oppressed Mexican peasant village hires seven gunfighters to help defend their homes.,The Mirisch Corporation,22211,4905000,128,They were seven - And they fought like seven hundred!,The Magnificent Seven
90000,Horror,Macabre,"A doctor's daughter is kidnapped and buried alive, and he is given just five hours to find and rescue her.",William Castle Productions,21459,5000000,72,As Blood-Chilling As Being Buried Alive!,Macabre
120000000,Animation,Atlantis: The Lost Empire,"The world's most highly qualified crew of archaeologists and explorers is led by historian Milo Thatch as they board the incredible 1,000-foot submarine Ulysses and head deep into the mysteries of the sea.",Walt Disney Pictures,37044,186053725,95,Atlantis is waiting...,Atlantis: The Lost Empire
13000000,Drama,Crazy/Beautiful,"At Pacific Palisades High, a poor Latino falls hard for a troubled girl from the affluent neighborhood.",Touchstone Pictures,37071,16929123,99,When it's real. When it's right. Don't let anything stand in your way.,Crazy/Beautiful
25000000,Action,Kiss of the Dragon,"Liu Jian, an elite Chinese police officer, comes to Paris to arrest a Chinese drug lord. When Jian is betrayed by a French officer and framed for murder, he must go into hiding and find new allies.",Twentieth Century Fox Film Corporation,37078,64437847,98,Kiss Fear Goodbye,Kiss of the Dragon
45000000,Comedy,Scary Movie 2,"While the original parodied slasher flicks like Scream, Keenen Ivory Wayans's sequel to Scary Movie takes comedic aim at haunted house movies. A group of students visit a mansion called Hell House, and murderous high jinks ensue.",Gold/Miller Productions,37076,141220678,83,No More Mercy. No More Shame. No More Sequels - Honest! - We Lied.,Scary Movie 2
2686000,Adventure,Donovan's Reef,"Guns' Donovan prefers carousing with his pals Doc Dedham and 'Boats' Gilhooley, until Dedham's high-society daughter Amelia shows up in their South Seas paradise.",Paramount Pictures,23174,6600000,109,Gangway...For This Years BIG Adventure!,Donovan's Reef
3200000,Western,The Man Who Shot Liberty Valance,"A senator, who became famous for killing a notorious outlaw, returns for the funeral of an old friend and tells the truth about his deed.",Paramount Pictures,22758,8000000,123,Together For The First Time - James Stewart - John Wayne - in the masterpiece of four-time Academy Award winner John Ford,The Man Who Shot Liberty Valance
10000000,Action,The Last Dragon,A young man searches for the master to obtain the final level of martial arts mastery known as the glow. Along the way he must fight an evil martial arts expert and rescue a beautiful singer from an obsessed music promoter.,TriStar Pictures,31128,25754284,108,His family thinks he's crazy. His enemies think he's no challenge. But she knows he's THE LAST DRAGON.,The Last Dragon
68000000,Action,The Score,An aging thief hopes to retire and live off his ill-gotten wealth when a young kid convinces him into doing one last heist.,Paramount Pictures,37085,71069884,124,There are no partners in crime,The Score
5000000,Action,Made,Two aspiring boxers lifelong friends get involved in a money-laundering scheme through a low-level organized crime group.,Artisan Entertainment,37085,5476060,94,Welcome to disorganized crime.,Made
7500000,Action,Above the Law,"Seagal is Nico Toscani, an Italian immigrant, American patriot, ex-CIA agent, aikido specialist, and unorthodox Chicago policeman. He is as committed to his job as he is to his personalized brand of justice: expert and thorough bone-crushing.",Warner Bros.,32241,18869631,99,He's a cop who believes no one is above the law.,Above the Law
46630000,Action,The Adventures of Baron Munchausen,An account of Baron Munchausen's supposed travels and fantastical experiences with his band of misfits.,Columbia Pictures Corporation,32484,8083123,126,Remarkable. Unbelievable. Impossible. And true.,The Adventures of Baron Munchausen
20000000,Drama,Cocktail,A talented New York bartender takes a job at a bar in Jamaica and falls in love.,Touchstone Pictures,32353,171504781,104,"When he pours, he reigns.",Cocktail
6000000,Action,Colors,"A confident young cop is shown the ropes by a veteran partner in the dangerous gang-controlled barrios of Los Angeles, where the gang culture is enforced by the colors the members wear.",Orion Pictures,32248,46616067,120,"70,000 gang members. One million guns. Two cops.",Colors
2000000,Action,Critters,A massive ball of furry creatures from another world eat their way through a small mid-western town followed by intergalactic bounty hunters opposed only by militant townspeople.,New Line Cinema,31513,13167232,82,"They eat so fast, you don't have time to scream.",Critters
4500000,Comedy,Critters 2,"A batch of unhatched critter eggs are mistaken for Easter eggs by the country-folk inhabitants of Grover's Bend and, before long, the ferocious furballs are on the rampage again.",New Line Cinema,32262,3813293,86,Get Ready for Seconds... They're Back,Critters 2
20000000,Crime,Frantic,"Ford plays an American doctor whose wife suddenly vanishes in Paris. To find her, he navigates a puzzling web of language, locale, laissez-faire cops, triplicate-form filling bureaucrats and a defiant, mysterious waif who knows more than she tells.",The Mount Company,32189,17637950,120,They've taken his wife. Now he's taking action.,Frantic
9000000,Comedy,Hot to Trot,Fred P. Chaney receives as inheritance after the death of his mother a speaking horse that also has good knowledge about the stock-market. With the help of this horse Fred gains a lot at the stock-market of Chicago.,Warner Bros.,32381,6436211,88,When I Talk You're Gonna Laugh Yourself Hoarse!,Hot to Trot
29000000,Action,Red Heat,A tough Russian policeman is forced to partner up with a cocky Chicago police detective when he is sent to Chicago to apprehend a Georgian drug lord who killed his partner and fled the country.,TriStar Pictures,32311,34994648,104,Moscow's toughest detective. Chicago's craziest cop. There's only one thing worse than making them mad. Making them partners.,Red Heat
6200000,Comedy,Return of the Living Dead Part II,"A group of kids discover one of the drums containing a rotting corpse and release the 2-4-5 Trioxin gas into the air, causing the dead to once again rise from the grave and seek out brains.",Greenfox,32157,9205924,89,Just when you thought it was safe to be dead.,Return of the Living Dead Part II
4000000,Comedy,The Return of the Living Dead,"When a bumbling pair of employees at a medical supply warehouse accidentally release a deadly gas into the air, the vapors cause the dead to re-animate as they go on a rampage seeking their favorite food: brains!",Hemdale Film Corporation,31182,14237000,91,They're Back From The Grave and Ready To Party!,The Return of the Living Dead
16000000,Action,Sunset,Tom Mix and Wyatt Earp team up to solve a murder at the Academy Awards in 1929 Hollywood.,Cecchi Gori Group Tiger Cinematografica,32262,4594452,102,"They broke every rule, loved every woman, took every risk and solved the most shocking murder in the history of Beverly Hills. And it's all true. Give or take a lie or two.",Sunset
22500000,Drama,Casualties of War,"During the Vietnam War, a soldier finds himself the outsider of his own squad when they unnecessarily kidnap a female villager. Based on the actual events of an incident on Hill 192 in November, 1966.",Columbia Pictures Corporation,32738,18671317,113,Even in war... murder is murder.,Casualties of War
500000,Action,Cyborg,A martial artist hunts a killer in a plague-infested urban dump of the future.,Cannon Group,32605,10166459,86,He's the First Hero of the 21st Century... And He's Our Only Hope.,Cyborg
20000000,Crime,Johnny Handsome,"A career criminal who has been deformed since birth is given a new face by a kindly doctor and paroled from prison. It appears that he has gone straight, but he is really planning his revenge on the man who killed his mentor and sent him to prison.",Guber/Peters Company,32763,7237794,94,"They changed his looks, his life and his future... but they couldn't change his past .",Johnny Handsome
25000000,Adventure,Leviathan,Underwater deep-sea miners encounter a Soviet wreck and bring back a dangerous cargo to their base on the ocean floor with horrifying results. The crew of the mining base must fight to survive against a genetic mutation that hunts them down one by one.,Gordon Company,32584,15704614,98,The true meaning of fear,Leviathan
12000000,Adventure,Next of Kin,"Truman Gates, a Chicago cop, sets out to find his brother's killer. Meanwhile, another of his brothers, Briar (a hillbilly) decides to find the killer himself.",Lorimar Film Entertainment,32801,15942628,108,A Chicago cop from the hills of Kentucky. Hunting his brother's killer. Seeking justice country style.,Next of Kin
8000000,Action,No Holds Barred,"Rip is the World Wrestling Federation champion who is faithful to his fans and the network he wrestles for, but Brell, the new head of the World Television Network, wants Rip to wrestle for his network.",New Line Cinema,32661,16093651,93,No Ring. No Ref. No Rules.,No Holds Barred
16000000,Action,Red Scorpion,"A Russian KGB agent is sent to Africa to kill an anti-Communist black revolutionary. However, he has a change of heart when he sees how the Russians and their Cuban allies are killing and repressing the locals, so he switches sides and helps the rebels.",abramoff Production,32501,4192440,105,They think they control him. Think again.,Red Scorpion
12000000,Crime,Brother,"A Japanese Yakuza gangsterâ€™s deadly existence in his homeland gets him exiled to Los Angeles, California, where he is taken in by his little brother and his brotherâ€™s gang. This is the first English film by Takeshi Kitano.",Bandai Visual Company,36778,15250000,114,Are You Japanese?,Brother
5000000,Thriller,Shocker,"After being sent to the electric chair, a serial killer uses electricity to come back from the dead and carry out his vengeance on the football player who turned him in to the police.",Alive Films,32808,16554699,109,"On October 2, at 6:45 AM mass murderer Horace Pinker was put to death. Now, he's really mad.",Shocker
58000000,Music,The Cotton Club,"The story of the people that frequented Harlem's famous nightclubs, 'The Cotton Club', and those that ran it.",Orion Pictures,31030,25928721,127,It was the jazz age. It was an era of elegance and violence. The action was gambling. The stakes were life and death.,The Cotton Club
42000000,Thriller,Original Sin,"A young man is plunged into a life of subterfuge, deceit and mistaken identity in pursuit of a femme fatale whose heart is never quite within his grasp",Intermedia Films,37106,35402320,118,This is not a love story - it's a story about love.,Original Sin
75000000,Adventure,Osmosis Jones,"A policeman white blood cell, with the help of a cold pill, must stop a deadly virus from destroying the human they live in, Frank.",Conundrum Entertainment,37110,13596911,95,Every BODY needs a hero,Osmosis Jones
1500000,Horror,Session 9,Tensions rise within an asbestos cleaning crew as they work in an abandoned mental hospital with a horrific past that seems to be coming back.,October Films,37113,373967,100,Fear is a place.,Session 9
22000000,Comedy,Jay and Silent Bob Strike Back,"When Jay and Silent Bob learn that their comic-book alter egos, Bluntman and Chronic, have been sold to Hollywood as part of a big-screen movie that leaves them out of any royalties, the pair travels to Tinseltown to sabotage the production.",Dimension Films,37125,33788161,104,Hollywood had it coming,Jay and Silent Bob Strike Back
1900000,Comedy,Vamp,Two fraternity pledges go to a sleazy bar looking for strippers to entertain their college friends.,Balcor Film Investors,31611,4790926,93,A Frightening Comedy,Vamp
40000000,Action,The Musketeer,"In Peter Hyams's adaptation of the famous Alexander Dumas story The Three Musketeers, the young D'Artagnan seeks to join the legendary musketeer brigade and avenge his father's death - but he finds that the musketeers have been disbanded.",Crystal Sky Worldwide,37141,27053815,104,As you've never seen it before.,The Musketeer
32000000,Comedy,Hardball,"An aimless young man who is scalping tickets, gambling and drinking, agrees to coach a Little League team from the Cabrini Green housing project in Chicago as a condition of getting a loan from a friend.",Paramount Pictures,37148,40222729,106,The most important thing in life is showing up,Hardball
22000000,Drama,Glitter,Similar to Mariah's life story. Mariah plays the role of a young singer who is eager to become a big star. She dates a DJ who helps her get into the music business.,Twentieth Century Fox Film Corporation,37155,5271666,104,"In music she found her dream, her love, herself.",Glitter
45000000,Action,Training Day,"On his first day on the job as a narcotics officer, a rookie cop works with a rogue detective who isn't what he appears.",Village Roadshow Pictures,37169,104876233,122,"The only thing more dangerous than the line being crossed, is the cop who will cross it.",Training Day
9400000,Action,"It's a Mad, Mad, Mad, Mad World","A group of strangers come across a man dying after a car crash who proceeds to tell them about the $350,000 he buried in California. What follows is the madcap adventures of those strangers as each attempts to claim the prize for himself.",United Artists,23322,60000000,163,The biggest entertainment ever to rock the screen with laughter!,"It's a Mad, Mad, Mad, Mad World"
725000,Crime,Play Misty for Me,"A brief fling between a male disc jockey and an obsessed female fan takes a frightening, and perhaps even deadly turn when another woman enters the picture.",Universal Pictures,26240,10600000,102,The scream you hear may be your own!,Play Misty for Me
50000000,Thriller,Don't Say a Word,"When the daughter of a psychiatrist is kidnapped, he's horrified to discover that the abductors' demand is that he break through to a post traumatic stress disorder suffering young woman who knows a secret..",Village Roadshow Pictures,37162,100020092,113,...I'll never tell.,Don't Say a Word
31000000,Drama,Hearts in Atlantis,A widowed mother and her son change when a mysterious stranger enters their lives.,Village Roadshow Pictures,37141,24185781,101,What if one of life's great mysteries moved in upstairs?,Hearts in Atlantis
23000000,Mystery,Joy Ride,"Three young people on a road trip from Colorado to New Jersey talk to a trucker on their CB radio, then must escape when he turns out to be a psychotic killer.",Regency Enterprises,37169,36642838,97,"It was just a joke, just for fun.",Joy Ride
12000000,Comedy,Max Keeble's Big Move,"Max Keeble, the victim of his 7th grade class, plots revenge when he learns he's moving; it backfires when he doesn't move after all.",Walt Disney Pictures,37169,17292381,86,His World. His Rules.,Max Keeble's Big Move
15000000,Drama,Coal Miner's Daughter,"Biography of Loretta Lynn, a country and western singer that came from poverty to fame.",Universal Pictures,29287,67182787,125,She was married at 13. She had four kids by the time she was 20. She's been hungry and poor. She's been loved and cheated on. She became a singer because it was the only thing she could do. She became a star because it was the only way she could do it.,Coal Miner's Daughter
75000000,Action,Bandits,Two bank robbers fall in love with the girl they've kidnapped.,Cheyenne Enterprises,37176,67631903,123,"Two's company, three's a crime.",Bandits
15000000,Thriller,Mulholland Drive,"After a car wreck on the winding Mulholland Drive renders a woman amnesic, she and a perky Hollywood-hopeful search for clues and answers across Los Angeles in a twisting venture beyond dreams and reality.",Asymmetrical Productions,37027,20117339,147,An actress longing to be a star. A woman searching for herself. Both worlds will collide... on Mulholland Drive.,Mulholland Drive
10000000,Action,Bones,"Over 20 years after his death by a gunshot, Jimmy Bones comes back as a ghost to wreak revenge on those who killed him and to clean up his neighborhood.",New Line Cinema,37188,7316658,96,"This Halloween, unleash the Dogg.",Bones
35000000,Horror,From Hell,Frederick Abberline is an opium-huffing inspector from Scotland Yard who falls for one of Jack the Ripper's prostitute targets in this Hughes brothers adaption of a graphic novel that posits the Ripper's true identity.,Twentieth Century Fox Film Corporation,37183,74558115,122,Only the legend will survive.,From Hell
72000000,Action,The Last Castle,A Court Martialed general rallies together 1200 inmates to rise against the system that put him away.,DreamWorks SKG,37183,27642707,131,A Castle Can Only Have One King,The Last Castle
48000000,Comedy,Riding in Cars with Boys,"A single mother, with dreams of becoming a writer, has a son at the age of 15 in 1965, and goes through a failed marriage with the drug-addicted father.",Columbia Pictures,37183,35743308,132,One day can make your life; one day can ruin your life. All life is is four or five big days that change everything.,Riding in Cars with Boys
48000000,Drama,K-PAX,"Prot is a patient at a mental hospital who claims to be from a far away Planet. His psychiatrist tries to help him, only to begin to doubt his own explanations.",Intermedia Films,37186,50315140,120,Change the way you look at the world.,K-PAX
6000000,Fantasy,Donnie Darko,"After narrowly escaping a bizarre accident, a troubled teenager is plagued by visions of a large bunny rabbit that manipulates him to commit a series of crimes.",Pandora Cinema,36909,1270522,113,You can never go too far,Donnie Darko
75000000,Mystery,Domestic Disturbance,A divorced father discovers that his 12-year-old son's new stepfather is not what he made himself out to be.,Paramount Pictures,37194,54249294,89,He will do anything to protect his family.,Domestic Disturbance
49000000,Action,The One,A sheriff's deputy fights an alternate universe version of himself who grows stronger with each alternate self he kills.,Columbia Pictures,37197,72700000,87,Stealing the power of the universes one by one.,The One
40000000,Comedy,Shallow Hal,A shallow man falls in love with a 300 pound woman because of her inner beauty.,Twentieth Century Fox Film Corporation,37196,141069860,114,Are You A Shallow Guy?,Shallow Hal
7000000,Action,The Wash,"With the rent due and his car booted, Sean (Dr. Dre) has to come up with some ends...and fast. When his best buddy and roommate Dee Loc (Snoop Dogg), suggests that Sean get a job busting suds down at the local car wash.",Lionsgate,37211,10229331,93,"When you're down 'n dirty, it all comes out in...",The Wash
14000000,Drama,Funny Girl,"The life of comedienne Fannie Brice, from her early days in the Jewish slums of the Lower East Side, to the height of her career with the Ziegfeld Follies, including her marriage to and eventual divorce from her first husband, Nick Arnstein.",Columbia Pictures Corporation,25100,52223306,149,People who see FUNNY GIRL are the luckiest people in the world!,Funny Girl
6500000,Horror,Dressed to Kill,"A mysterious, tall, blonde woman, wearing sunglasses murders one of a psychiatrist's patients, and now she's after the prostitute who witnessed it.",Filmways Pictures,29397,31899000,105,The Latest Fashion In Murder,Dressed to Kill
35000000,Science Fiction,Flash Gordon,"A football player and his friends travel to the planet Mongo and find themselves fighting the tyrant, Ming the Merciless, to save Earth.",Dino De Laurentiis Company,29465,27107960,111,He'll save every one of us!,Flash Gordon
