budget,primary_genre,original_title,overview,production_company,release_date,revenue,runtime,tagline,title
18000000,Drama,Project X,"A young inductee into the military is given the task of looking after some chimpanzees used in the mysterious Project X. Getting to know the chimps fairly well, he begins to suspect there is more to the secret project than he is being told.",20th Century Fox,31884,18532286,108,"When the Air Force assigned Jimmy Garrett to a top secret project, he didn't know what he was in for. Neither did they.",Project X
64000,Drama,Vivre sa vie: film en douze tableaux,Twelve episodic tales in the life of a Parisian woman and her slow descent into prostitution.,PathÃ© Consortium CinÃ©ma,22909,24517,85,The many faces of a woman trying to find herself in a world of men.,Vivre Sa Vie
9500000,Comedy,Wild at Heart,Young lovers Sailor and Lula run from the variety of weirdos that Lula's mom has hired to kill Sailor.,Samuel Goldwyn,32994,14560247,124,A wild crazy love story.,Wild at Heart
864000,Drama,Mary of Scotland,The recently widowed Mary Stuart returns to Scotland to reclaim her throne but is opposed by her half-brother and her own Scottish lords.,RKO Radio Pictures,13390,1276000,123,History called her The Temptress!,Mary of Scotland
3000000,Western,Red River,"Dunson is driving his cattle to Red River when his adopted son, Matthew, turns against him.",United Artists,17771,9012000,133,Big as the men who faced this challenge! Bold as the women who loved them!,Red River
20000000,Action,Dragnet,The equally-straight-laced and by the book nephew of Joe Friday must work with his more laid-back partner to solve a mystery and save The Virgin Connie Swail...,Universal Pictures,31953,66673516,106,Just The Facts.,Dragnet
10000000,Comedy,Calendar Girls,2003 fact-based comedy with Helen Mirren and Julie Walters. Members of a Yorkshire branch of the Women's Institute cause controversy when they pose nude for a charity calendar.,Harbour Pictures,37866,96542059,108,Some ladies will do anything for a good cause.,Calendar Girls
8000000,Crime,Monster,Aileen Wuornos is an emotionally scarred highway hooker who shoots a sadistic trick who rapes her and ultimately becomes America's first female serial killer.,Newmarket Films,37941,60378584,110,The first female serial killer of America,Monster
15000000,Romance,The Pick-up Artist,A womanizer meets his match when he falls for the daughter of a gambling addict who is in debt to the mob.,Twentieth Century Fox Film Corporation,32038,13290368,81,The Pick-Up Artist... has finally met his match.,The Pick-up Artist
17000000,Comedy,Win a Date with Tad Hamilton!,"A small-town girl wins a date with a Hollywood star through a contest. When the date goes better than expected, a love triangle forms between the girl, the celebrity, and the girl's best friend.",DreamWorks SKG,38009,16980098,95,"In every love story, there's only room for one leading man.",Win a Date with Tad Hamilton!
50000000,Comedy,The Big Bounce,"A small-time con artist and a Hawaiian real estate developer's mischievous, enterprising mistress team up for a potential $200,000 score.",Shangri-La Entertainment,38016,6808550,88,It's all in who you trust,The Big Bounce
15000000,Drama,The Dreamers,A young American studying in Paris in 1968 strikes up a friendship with a French brother and sister. Set against the background of the '68 Paris student riots.,Peninsula Films,37865,15121165,115,Together nothing is impossible. Together nothing is forbidden.,The Dreamers
1300000,Action,Vanishing Point,"Kowalski works for a car delivery service. He takes delivery of a 1970 Dodge Challenger to take from Colorado to San Francisco, California. Shortly after pickup, he takes a bet to get the car there in less than 15 hours.",Twentieth Century Fox Film Corporation,25948,72266306,99,It's the maximum trip... at maximum speed.,Vanishing Point
1135654,Action,The Thief of Bagdad,A recalcitrant thief vies with a duplicitous Mongol ruler for the hand of a beautiful princess.,Douglas Fairbanks Pictures,45369,1213880,149,Happiness Must Be Earned,The Thief of Bagdad
25000000,Comedy,EuroTrip,"When Scott learns that his longtime cyber-buddy from Berlin is a gorgeous young woman, he and his friends embark on a trip across Europe.",DreamWorks SKG,38037,20796847,93,No actual Europeans were harmed in the making of this film.,EuroTrip
8500000,Comedy,Club Dread,When a serial killer interrupts the fun at the swanky Coconut Pete's Coconut Beach Resort -- a hedonistic island paradise for swingers --- it's up to the club's staff to stop the violence ... or at least hide it!,Fox Searchlight Pictures,38044,5001655,104,A vacation to die for,Club Dread
100000000,Western,Hidalgo,"Set in 1890, this is the story of a Pony Express courier who travels to Arabia to compete with his horse, Hidalgo, in a dangerous race for a massive contest prize, in an adventure that sends the pair around the world...",Casey Silver Productions,38051,108103450,136,Unbridled. Unbroken. Unbeaten.,Hidalgo
26000000,Comedy,Agent Cody Banks 2: Destination London,"With all-new gadgets, high-flying action, exciting chases and a wisecracking new handler, Derek (Anthony Anderson), Cody has to retrieve the device before the world's leaders fall under the evil control of a diabolical villain.",Splendid Pictures,38162,28818995,100,Adventure is an attitude.,Agent Cody Banks 2: Destination London
28000000,Fantasy,Dawn of the Dead,"A group of surviving people take refuge in a shopping center after the world has been over taken over by aggressive, flesh-eating zombies. A remake of the 1978 zombie film of the same name.",New Amsterdam Entertainment,38065,102356381,101,"When the undead rise, civilization will fall.",Dawn of the Dead
3000000,Action,Never Die Alone,A drug kingpin's return home touches off a turf war.,ContentFilm,38072,5923000,88,No king rules forever.,Never Die Alone
56000000,Adventure,Walking Tall,"A former U.S. soldier returns to his hometown to find it overrun by crime and corruption, which prompts him to clean house.",Metro-Goldwyn-Mayer (MGM),38079,57223890,86,One man will stand up for what's right.,Walking Tall
145000000,Western,The Alamo,"Based on the 1836 standoff between a group of Texan and Tejano men, led by Davy Crockett and Jim Bowie, and Mexican dictator Santa Anna's forces at the Alamo in San Antonio, Texas.",Imagine Entertainment,38084,25819961,137,You will never forget,The Alamo
650000,Horror,Dawn of the Dead,"During an ever-growing epidemic of zombies that have risen from the dead, two Philadelphia SWAT team members, a traffic reporter, and his television-executive girlfriend seek refuge in a secluded shopping mall.",Laurel Group,28735,55000000,127,"When there's no more room in hell, the dead will walk the earth.",Dawn of the Dead
5600000,Action,Those Magnificent Men in Their Flying Machines or How I Flew from London to Paris in 25 hours 11 minutes,Star studded comedy about a early 20th century air race from Britain to France.,Twentieth Century-Fox Productions,23896,29950000,138,or How I Flew from London to Paris in 25 hours 11 minutes,Those Magnificent Men in Their Flying Machines or How I Flew from London to Paris in 25 hours 11 minutes
4500000,Comedy,After Hours,An ordinary word processor has the worst night of his life after he agrees to visit a girl in Soho whom he met that evening at a coffee shop.,Double Play,31303,10609321,97,"When it's after midnight in New York City, you don't have to look for love, laughter and trouble. They'll all find you!",After Hours
33000000,Action,The Punisher,"When undercover FBI agent Frank Castle's wife and son are slaughtered, he becomes 'the Punisher' -- a ruthless vigilante willing to go to any length to avenge his family.",Lions Gate Films,38092,54700105,124,"There is no justice, there is only revenge.",The Punisher
6400000,Drama,Young Adam,A young drifter working on a river barge disrupts his employers' lives while hiding the fact that he knows more about a dead woman found in the river than he admits.,Recorded Picture Company (RPC),37890,2500000,93,Everyone has a past. Everyone has a secret.,Young Adam
37000000,Comedy,13 Going on 30,"After total humiliation at her thirteenth birthday party, Jenna Rink wants to just hide until she's thirty. With a little magic, her wish is granted, but it turns out that being thirty isn't as always as awesome as she thought it would be!",Columbia Pictures,38090,96455697,98,"For some, 13 feels like it was just yesterday. For Jenna, it was.",13 Going on 30
70000000,Action,Man on Fire,"Jaded ex-CIA operative John Creasy reluctantly accepts a job as the bodyguard for a 10-year-old girl in Mexico City. They clash at first, but eventually bond, and when she's kidnapped he's consumed by fury and will stop at nothing to save her life.",Regency Enterprises,38100,130293714,146,"Creasy's art is death, and he is about to paint his masterpiece.",Man on Fire
25000000,Drama,Godsend,"A couple agree to have their deceased son cloned under the supervision of an enigmatic doctor, but bizarre things start to happen years after his rebirth.",Lions Gate Films,38107,30114487,102,"When a miracle becomes a nightmare, evil is born.",Godsend
28000000,Action,Laws of Attraction,"Amidst a sea of litigation, two New York City divorce lawyers find love.",New Line Cinema,38081,30016165,90,Love always has the last word.,Laws of Attraction
17000000,Comedy,Mean Girls,"Cady Heron is a hit with The Plastics, the A-list girl clique at her new school, until she makes the mistake of falling for Aaron Samuels, the ex-boyfriend of alpha Plastic Regina George.",Paramount Pictures,38107,129042871,97,Welcome to girl world.,Mean Girls
850000,Action,Enter the Dragon,A martial artist agrees to spy on a reclusive crime lord using his invitation to a tournament there as cover.,Golden Harvest Company,26893,90000000,99,Their deadly mission: to crack the forbidden island of Han!,Enter the Dragon
27500000,Adventure,Octopussy,James Bond is sent to investigate after a fellow â€œ00  agent is found dead with a priceless Farberge egg. James bond follows the mystery and uncovers a smuggling scandal and a Russian General who wants to provoke a new World War.,Eon Productions,30472,187500000,131,James Bondâ€™s all time high.,Octopussy
4638783,Western,Pat Garrett & Billy the Kid,An aging Pat Garrett is hired as a lawman on behalf of a group of wealthy New Mexico cattle barons--his sole purpose being to bring down his old friend Billy the Kid.,Metro-Goldwyn-Mayer (MGM),26807,11000000,106,Best of enemies. Deadliest of friends.,Pat Garrett & Billy the Kid
3000000,Drama,The Night of the Iguana,Drama while a tour bus driver shows church ladies around Mexico. Helped establish Puerto Vallarta as tourist destination.,Seven Arts Productions,23595,12000000,125,One man... three women... one night,The Night of the Iguana
11000000,Action,Nightbreed,A troubled young man is drawn to a mythical place called Midian where a variety of monsters are hiding from humanity.,Seraphim Films,32920,8862354,102,Come meet the dead of night.,Nightbreed
4500000,Horror,From Beyond,"A group of scientists have developed the Resonator, a machine which allows whoever is within range to see beyond normal perceptible reality. But when the experiment succeeds, they are immediately attacked by terrible life forms.",Empire Pictures,31568,1261000,86,Humans are such easy prey.,From Beyond
500000,Drama,Mean Streets,"A small-time hood must choose from among love, friendship and the chance to rise within the mob.",Scorsese Productions,26939,3000000,110,You don't make up for your sins in church. You do it in the streets...,Mean Streets
3500000,Action,Harper,"Harper is a cynical private eye in the best tradition of Bogart. He even has Bogie's Baby hiring him to find her missing husband, getting involved along the way with an assortment of unsavory characters and an illegal-alien smuggling ring.",Warner Bros.,24161,12000000,121,Harper takes a case - and the payoff is murder.,Harper
1271000,Crime,Bad Day at Black Rock,A stranger visits a tiny Western town determined to keep a horrible secret.,Loew's,20096,3788000,81,They're going to kill you...with no hard feelings!,Bad Day at Black Rock
950000,Drama,Charly,An experiment on a simpleton turns him into a genius. When he discovers what has been done to him he struggles with whether or not what was done to his was right.,ABC Pictures,25104,814666,103,A love story that begins with an incredible experiment!,Charly
4200000,Horror,Night of the Living Dead,"In this remake of the original classic film, a group of people are trapped inside a farmhouse as legions of the walking dead try to get inside and use them for food.",Columbia Pictures Corporation,33164,5835247,88,There IS a fate worse than death.,Night of the Living Dead
7200000,Drama,Purple Rain,"A young man with a talent for music meets an aspiring singer, Apollonia, and finds that talent alone isn't all that he needs.",Warner Bros.,30890,68392977,111,Before He Created the Magic. He Lived Every Bit of It.,Purple Rain
2000000,Drama,The Caine Mutiny,"When a US Naval captain shows signs of mental instability that jeopardizes the ship, the first officer relieves him of command and faces court martial for mutiny.",Stanley Kramer Productions,19899,21750000,124,As big as the ocean!,The Caine Mutiny
50000000,Drama,Raising Helen,"Helen Harris has a glamorous, big-city life working for one of New York's hottest modeling agencies. But suddenly her free-spirited life gets turned upside down when she must chose between the life she's always loved, and the new loves of her life!",Touchstone Pictures,38134,49718611,119,Her uptown life gets turned inside out!,Raising Helen
130000000,Adventure,Harry Potter and the Prisoner of Azkaban,"Harry, Ron and Hermione return to Hogwarts for another magic-filled year. Harry comes face to face with danger yet again, this time in the form of escaped convict, Sirius Black and turns to sympathetic Professor Lupin for help.",1492 Pictures,38138,789804554,141,Something wicked this way comes.,Harry Potter and the Prisoner of Azkaban
27000000,Mystery,Mindhunters,Trainees in the FBI's psychological profiling program must put their training into practice when they discover a killer in their midst.,Avenue Pictures Productions,38114,21148829,106,"For seven elite profilers, finding a serial killer is a process of elimination. Their own.",Mindhunters
90000000,Action,The Stepford Wives,"What does it take to become a Stepford wife, a woman perfect beyond belief? Ask the Stepford husbands, who've created this high-tech, terrifying little town.",Paramount Pictures,38148,102000000,93,The wives of Stepford have a secret.,The Stepford Wives
400000,Comedy,Napoleon Dynamite,"A listless and alienated teenager decides to help his new friend win the class presidency in their small western high school, while he must deal with his bizarre family life back home.",Paramount Pictures,38149,46118097,95,He's out to prove he's got nothing to prove.,Napoleon Dynamite
14320000,Drama,Star!,Gertrude Lawrence rises to stage stardom at the cost of happiness.,Twentieth Century Fox Film Corporation,25037,14000000,176,Happiness is a girl called Julie!,Star!
